ano,mês,dia,hora,Rn,Gmedio,T_z1,UR_z1
2009,1,10,900,440.25,9665,29.0218489532712,67.7198161281155
2009,1,10,930,525.7,10.8575,29.7315862600237,64.7287311477965
2009,1,10,1000,601.55,13.01,30.3348629707633,62.6319401565255
2009,1,10,1030,658.75,14.6525,30.7708444591969,61.3081829523979
2009,1,10,1100,719.5,18.3425,31.4450949006118,60.5755692325562
2009,1,10,1130,767,18.8875,31.799963553988,61.1010301074771
2009,1,10,1200,816,20.17,32.5299790695049,56.9529207006495
2009,1,10,1230,524.7,26.3725,32.5502572782692,57.6855344204912
2009,1,10,1300,803,35.09,33.0420038408049,54.3710889017593
2009,1,10,1330,825,29075,33.4272898073277,53.0422791892189
2009,1,10,1400,528.7,26345,33.3056205547415,52.0418825235041
2009,1,10,1430,183.8,13.09,32.6617874264732,57.7764795719198
2009,1,10,1500,96195,8.55125,32.2460841468039,60.9090347877945
2009,1,10,1530,50215,4907,30.720148937286,69.7812395604976
2009,1,10,1600,9.4625,-5.19175,28.0079385150533,74.6215426198652
2009,1,10,1630,-6265,-9.4475,27.080210464084,76.7941212373267
2009,1,10,1700,-1431,-10.7275,26.4972119621088,75.8846697230405
2009,1,10,1730,-3664,-12.7575,26.0612304736751,79.1182751071692
2009,1,10,1800,-16.3,-13.7925,24.8141206346672,84.8781346976484
2009,1,10,1830,-24.05,-14255,24.3984173549979,88.0106899135231
2009,1,10,1900,-19.69,-14.23,23.9066707924622,91.6990210547949
2009,1,10,1930,-21805,-14005,23.7444451223474,93.3663488309862
2009,1,10,2000,-22585,-13.4725,23.6785409438632,94.0737000087644
2009,1,10,2030,-20.67,-12915,23.6278454219523,95.2357769436856
2009,1,10,2100,-20.63,-12.3025,23.5923585566147,95.6905027008287
2009,1,10,2130,-24.65,-12.47,23.5112457215573,95.5894525325747
2009,1,10,2200,-20455,-12.0575,23.4706893040285,95.5894525325747
2009,1,10,2230,-13815,-11.21,23.4352024386909,95.8926030373368
2009,1,10,2300,-13655,-10.74,23.5264543781305,96.0441782897178
2009,1,10,2330,-14.25,-10.4075,23.5872890044236,96.2462786262259
2009,1,11,0,-12.83,-9.8275,23.5467325868949,96.3473287944799
2009,1,11,30,-14.98,-9.3525,23.5771499000414,96.3978538786069
2009,1,11,100,-15855,-9.1775,23.4706893040285,96.6504792992419
2009,1,11,130,-20.95,-9.2275,23.4453415430731,96.802054551623
2009,1,11,200,-30.95,-10285,23.5213848259394,96.85257963575
2009,1,11,230,-30.81,-10.8425,23.6329149741434,96.85257963575
2009,1,11,300,-30.27,-11.4775,23.3490200514424,96.953629804004
2009,1,11,330,-30.82,-11.8125,23.1715857247543,97.1557301405121
2009,1,11,400,-25.39,-12.0125,23.38450691678,97.3073053928931
2009,1,11,430,-27.38,-12.2775,23.1665161725632,97.2567803087661
2009,1,11,500,-30575,-12.43,23.0600555765503,97.1557301405121
2009,1,11,530,-32205,-12.23,23.0347078155949,97.1557301405121
2009,1,11,600,-22.53,-11925,22.811647519187,97.105205056385
2009,1,11,630,25.68,-9.56,24.236191684883,95.3368271119397
2009,1,11,700,119.7,-4.63025,25.8178919685028,87.758064492888
2009,1,11,730,103.2,4.18775,27.2576447907721,80.5329774627255
2009,1,11,800,96.85,8.7425,26.9990976290266,83.5644825103461
2009,1,11,830,307.35,13.7625,27.9927298584801,79.4719506960583
2009,1,11,900,488.45,15.31,29.919159691094,72.5500141706578
2009,1,11,930,635.5,20.33,30.3906280448653,69.7963970857357
2009,1,11,1000,697.8,27.4,31.3741211699365,65.1632468712888
2009,1,11,1030,792.75,32575,31.4704426615672,68.5484275077985
2009,1,11,1100,698.6,28.88,31.7188507189306,60.3279963203338
2009,1,11,1130,826,26.21,31.799963553988,61.4597582047789
2009,1,11,1200,765.35,22.43,32.1092062376445,61.5608083730329
2009,1,11,1230,819.5,24.33,32.4590053388296,58.5191983085869
2009,1,11,1300,803,28.5375,32.5451877260781,56.8619755492209
2009,1,11,1330,809,23.3075,33.1332557802445,54.6489768644578
2009,1,11,1400,788.5,24.95,33.7618802519395,51.5416841906467
2009,1,11,1430,775,17.95,34.1725139794178,49.8036212966775
2009,1,11,1500,735.95,29.9975,34.6794691985267,48.0958734531845
2009,1,11,1530,638.6,40.3425,34.9278772558901,45.8424547011198
2009,1,11,1600,448.25,17963,34.4310611411633,44.5490125474684
2009,1,11,1630,197.45,3.7565,34.2789745754306,46.4133881517551
2009,1,11,1700,101.85,0.32725,33.9443841308187,45.569619246834
2009,1,11,1730,55415,-0.6675,33.219438167493,50.7737029119161
2009,1,11,1800,59095,0.64875,32.535048621696,60.7423020101753
2009,1,11,1830,-17503,-0.46825,31.7644766886504,62.0003766049379
2009,1,11,1900,-40395,-4588,31.6529465404465,60.7877745858896
2009,1,12,400,-30555,-15.0375,24.3730695940424,89.8295929420955
2009,1,12,430,-13955,-12255,23.6886800482454,94.7305261024155
2009,1,12,500,-11.17,-10.73,23.7292364657741,94.9831515230506
2009,1,12,530,-11505,-10.0875,23.6836104960543,96.0441782897178
2009,1,12,600,-14285,-8.95,24.0334095972394,94.9831515230506
2009,1,12,630,8554,-6.81525,24.1854961629721,94.5284257659075
2009,1,12,700,49315,-1.93075,24.4896692944375,91.8000712230489
2009,1,12,730,124,1.57175,25.4478146585533,88.9201414278093
2009,1,12,800,235.1,6.87325,27.2069492688613,82.756081164314
2009,1,12,830,342.9,6.21825,28.5250328385444,76.3393954801836
2009,1,12,900,474.45,9.0675,29.6656820815395,69.5084041062117
2009,1,12,930,523.65,10.3825,29.8583250648009,69.4578790220847
