ano,mes,dia,temp,radiacao,umidade,chuva,vento
2011,7,26,28.6270763889,196.9944444444,43.1227083333,0,0
2011,7,27,28.5232398317,203,38.8608695652,0,0
2011,7,28,27.8887152778,204.5506944444,40.8522916667,0,0
2011,7,29,29.8125694444,204.5493055556,33.6495833333,0,0
2011,7,30,28.4332902468,211.6686251469,41.0544065805,0,-7.8688601645
2011,7,31,30.2205555556,213.9756944444,35.2340277778,0,1.1444444444
2011,8,1,25.2643402778,196.46875,58.4055555556,0,1.5798611111
2011,8,2,19.4145833333,189.5590277778,66.0256944444,0,1.1673611111
2011,8,3,17.0595138889,66.6701388889,75.2638888889,0,1.5947916667
2011,8,4,19.1459722222,220.3715277778,56.9173611111,0,1.2395833333
2011,8,5,23.2684027778,220.0416666667,44.1510416667,0,0.3798611111
2011,8,6,29.2457638889,220.7638888889,43.56875,0,0.5951388889
2011,8,7,31.1763888889,210.9236111111,39.5215277778,0,0.8836805556
2011,8,8,30.8703125,223.4513888889,35.3270833333,0,0.76875
2011,8,9,30.3505208333,216.9722222222,37.8121527778,0,0.6916666667
2011,8,10,30.8710416667,218.5347222222,41.171875,0,0.5513888889
2011,8,11,31.5739930556,209.4930555556,38.0572916667,0,0.5295138889
2011,8,12,32.1632986111,222.3298611111,32.6333333333,0,0.7125
2011,8,13,31.9745833333,213.4166666667,32.5489583333,0,0.7034722222
2011,8,14,31.2978472222,194.1423611111,37.1805555556,0,0.628125
2011,8,15,31.0561111111,231.2777777778,33.2333333333,0,0.7927083333
2011,8,16,31.3669791667,231.0451388889,27.3548611111,0,0.9857638889
2011,8,17,31.4282986111,204.1354166667,37.7027777778,0,0.8638888889
2011,8,18,32.4934027778,220.7986111111,36.9298611111,0,1.5420138889
2011,8,19,32.5861111111,199.5243055556,39.5628472222,0,1.7784722222
2011,8,20,16.3637847222,29.3715277778,89.4659722222,0.0423611111,1.9388888889
2011,8,21,16.7404861111,176.5486111111,59.3895833333,0,1.8069444444
2011,8,22,18.1982291667,239.8506944444,56.8729166667,0,1.2041666667
2011,8,23,19.8619097222,231.8854166667,63.4934027778,0,1.35
2011,8,24,23.8040277778,236.5416666667,58.9736111111,0,0.7118055556
2011,8,25,28.9784722222,238.6215277778,46.4461805556,0,0.5121527778
2011,8,26,30.7690625,226.4826388889,41.7722222222,0,0.6420138889
2011,8,27,32.4098263889,221.1701388889,37.6868055556,0,1.1506944444
2011,8,28,32.9786458333,241.7222222222,35.2239583333,0,1.2465277778
2011,8,29,33.0024305556,242.7569444444,35.1940972222,0,1.1072916667
2011,8,30,33.6613888889,237.9826388889,36.2100694444,0,1.1215277778
2011,8,31,28.3393402778,201.5694444444,58.0090277778,0,1.7451388889
2011,9,1,27.3235416667,238.6215277778,43.3170138889,0,1.4121527778
2011,9,2,29.3935416667,213.5277777778,38.0663194444,0,0.8236111111
2011,9,3,32.6477083333,239.2673611111,33.6184027778,0,1.0125
2011,9,4,33.0914236111,229,35.70625,0,1.4850694444
2011,9,5,33.0307291667,249.0798611111,30.9371527778,0,0.9461805556
2011,9,6,31.8228472222,241.0694444444,38.0489583333,0,0.6996527778
2011,9,7,31.8737847222,250.1944444444,34.4777777778,0,1.0399305556
2011,9,8,32.2067361111,242.0763888889,27.6753472222,0,1.303125
2011,9,9,23.5884722222,146.3298611111,66.0715277778,0,1.8197916667
2011,9,10,27.2804513889,236.1388888889,59.1194444444,0,0.7534722222
2011,9,11,27.0785069444,125.7881944444,70.3701388889,0.00625,1.178125
2011,9,12,29.0636111111,212.1145833333,55.1434027778,0,0.8572916667
2011,9,13,28.3151388889,87.6180555556,55.921875,0,0.5996527778
2011,9,14,28.6723611111,154.9097222222,53.3194444444,0,0.7694444444
2011,9,15,30.5639930556,202.3298611111,46.7697916667,0,0.9059027778
2011,9,16,32.0963194444,234.7395833333,37.4368055556,0,0.8972222222
2011,9,17,32.5390972222,248.71875,33.1038194444,0,0.9010416667
2011,9,18,30.5734375,240.6388888889,45.1572916667,0,1.2503472222
2011,9,19,28.2797222222,203.9409722222,59.7996527778,0,1.0357638889
2011,9,20,29.3739236111,189.9930555556,57.8138888889,0,1.2482638889
2011,9,21,29.5436458333,251.0347222222,56.6861111111,0,1.0993055556
2011,9,22,32.4968402778,213.2326388889,43.3243055556,0,0.8149305556
2011,9,23,32.4012847222,227.7395833333,37.5642361111,0,1.6649305556
2011,9,24,25.5387152778,128.2326388889,70.3184027778,0,1.315625
2011,9,25,28.5398958333,246.7673611111,58.4152777778,0,1.00625
